MsSubClass,Zone,Neighborhood,Area,Room,Built-Age,Sale-Rent,Document,Floor,Elevator,Warehouse,Parking,Reconstruction,Balcony,TotalPrice
1,13,49,100,2,10,1,-1.0,2.0,1,1.0,1,1.0,1,1100000000.0
1,10,37,51,1,20,0,0.0,2.0,0,1.0,0,1.0,1,2650000000.0
1,6,26,110,2,7,1,-1.0,1.0,0,1.0,1,0.0,1,1350000000.0
1,1,1,120,2,4,1,3.0,4.0,1,1.0,1,0.0,1,2000000000.0
1,10,41,65,2,3,0,3.0,2.0,1,1.0,1,0.0,0,4200000000.0
1,9,35,55,1,12,1,-1.0,4.0,0,1.0,0,1.0,1,380000000.0
1,16,76,40,1,14,0,-1.0,4.0,0,1.0,0,0.0,0,1750000000.0
1,12,48,100,2,15,0,0.0,2.0,1,1.0,0,0.0,1,6750000000.0
1,4,16,70,2,0,1,-1.0,3.0,0,1.0,1,0.0,1,850000000.0
1,1,86,150,3,7,0,3.0,4.0,1,1.0,1,0.0,1,26000000000.0
1,1,2,110,2,20,0,-1.0,2.0,1,1.0,1,0.0,1,12500000000.0
1,1,97,143,3,1,0,3.0,5.0,1,1.0,1,0.0,1,28000000000.0
1,2,10,1,3,1,0,-1.0,3.0,1,1.0,1,0.0,1,34000000000.0
1,10,39,58,2,20,0,0.0,2.0,0,0.0,1,1.0,1,3380000000.0
1,1,96,100,2,1,1,-1.0,2.0,1,1.0,1,0.0,1,600000000.0
1,13,50,82,2,10,0,0.0,3.0,0,1.0,1,1.0,1,6950000000.0
1,3,13,100,2,17,0,0.0,1.0,0,1.0,1,0.0,0,15000000000.0
1,1,96,180,3,9,0,3.0,3.0,1,1.0,1,1.0,1,35000000000.0
1,13,49,122,3,3,0,-1.0,6.0,0,1.0,1,0.0,1,7900000000.0
1,11,42,140,2,21,1,-1.0,2.0,0,1.0,1,1.0,1,800000000.0
1,1,5,65,1,8,1,-1.0,3.0,1,1.0,1,1.0,1,1050000000.0
1,17,63,50,1,19,0,0.0,4.0,0,1.0,1,0.0,1,1850000000.0
1,2,98,80,2,16,0,3.0,2.0,0,1.0,1,1.0,1,300000000.0
1,13,49,57,1,22,0,0.0,2.0,0,1.0,0,0.0,1,2760000000.0
1,7,27,62,1,8,0,0.0,2.0,0,1.0,1,0.0,0,5900000000.0
1,17,65,58,1,0,0,0.0,1.0,1,1.0,0,0.0,1,3190000000.0
1,20,74,86,2,29,0,0.0,3.0,0,0.0,1,1.0,1,4450000000.0
1,5,8,101,2,15,0,-1.0,2.0,1,1.0,1,0.0,1,10000000000.0
1,16,76,40,1,13,0,-1.0,1.0,0,1.0,1,0.0,0,2400000000.0
1,20,74,81,2,1,1,-1.0,4.0,0,1.0,1,0.0,1,800000000.0
1,17,63,58,2,20,1,-1.0,2.0,0,1.0,0,1.0,0,250000000.0
1,11,42,72,1,10,1,-1.0,3.0,0,1.0,0,1.0,0,350000000.0
1,1,1,138,3,1,0,3.0,4.0,1,1.0,1,0.0,1,24000000000.0
1,1,3,130,3,1,0,3.0,4.0,1,1.0,1,0.0,1,25000000000.0
1,7,29,95,2,4,1,-1.0,1.0,0,1.0,0,0.0,1,1180000000.0
1,9,35,80,2,6,1,-1.0,5.0,0,1.0,1,0.0,0,720000000.0
1,20,103,85,2,17,0,0.0,3.0,1,0.0,1,1.0,1,4250000000.0
1,9,35,70,1,20,0,0.0,0.0,0,1.0,0,1.0,1,4050000000.0
1,7,28,75,2,3,0,0.0,1.0,0,1.0,1,0.0,1,6200000000.0
1,2,8,81,2,20,0,0.0,2.0,1,1.0,1,1.0,0,8450000000.0
1,1,81,171,3,7,0,3.0,1.0,1,1.0,1,0.0,1,25000000000.0
1,19,69,50,1,3,0,0.0,1.0,0,1.0,0,0.0,0,1180000000.0
1,11,42,68,2,17,0,-1.0,3.0,0,1.0,0,0.0,0,3600000000.0
